time (sec),mode,accuracy,diff queries,privacy cost
0.2,standard,10,0,0
16.48,standard,34.8,15,2761.955688
32.96,standard,44.8,16,5547.446369
49.44,standard,49.2,16,8330.487811
65.92,standard,54.3,16,11178.77536
82.4,standard,57.9,16,13983.3444
98.88,standard,61.9,16,16796.26861
115.36,standard,65.1,16,19591.65255
131.84,standard,65.6,16,22378.06004
148.32,standard,66,16,25147.08036
0.2,copycat,10,0,0
16.48,copycat,23.3,15,3280.036548
32.96,copycat,26.5,16,6572.335217
49.44,copycat,35.1,16,9862.520994
65.92,copycat,38.4,16,13142.48781
82.4,copycat,40.9,16,16443.35926
98.88,copycat,48.3,16,19699.8516
115.36,copycat,50.7,16,23056.50532
131.84,copycat,54.7,16,26350.90979
148.32,copycat,56.3,16,29584.3846
164.8,copycat,59.7,16,32925.87821
181.28,copycat,64.5,16,36125.45322
197.76,copycat,61.4,16,39383.1239
214.24,copycat,63.3,16,42643.75584
230.72,copycat,64.2,16,45963.19852
247.2,copycat,62.9,16,49197.28521
263.68,copycat,63.7,16,52506.84533
280.16,copycat,67.6,16,55821.07221
296.64,copycat,68.8,16,59043.60187
313.12,copycat,67.9,16,62379.5327
329.6,copycat,70.7,16,65687.80537
346.08,copycat,71.6,16,68851.44492
362.56,copycat,68.5,16,72195.35291
379.04,copycat,73.9,16,75398.74032
395.52,copycat,72.6,16,78810.58435
412,copycat,73.4,16,82013.83415
428.48,copycat,72.8,16,85262.79782
444.96,copycat,77.6,16,88605.88301
461.44,copycat,77.2,16,91871.79355
477.92,copycat,79.1,16,95156.09251
494.4,copycat,75,16,98354.95675
510.88,copycat,78.1,16,101666.8099
0.2,adaptiveknockoff,10,0,0
16.48,adaptiveknockoff,14.8,15,3197
32.96,adaptiveknockoff,27.1,16,6439
49.44,adaptiveknockoff,27.1,16,9419.5
65.92,adaptiveknockoff,27.2,16,12400
82.4,adaptiveknockoff,27.2,16,15589
98.88,adaptiveknockoff,32.4,16,18778
115.36,adaptiveknockoff,32.4,16,22000
131.84,adaptiveknockoff,34.3,16,25139
148.32,adaptiveknockoff,32,16,27927
360.5,data free,10,350,80000
721,data free,6.95,350,160000
1081.5,data free,11.38,350,240000
1442,data free,12.71,350,320000
1802.5,data free,13.26,350,400000
2163,data free,14.53,350,480000
2523.5,data free,15.92,350,560000
2884,data free,17.41,350,640000
3244.5,data free,21.11,350,720000
3605,data free,20.36,350,800000
3965.5,data free,20.44,350,880000
