time (sec),mode,accuracy,diff queries,privacy cost
0.2,standard,10,0,0
7.36,standard,94.18,16,246.9064102
14.72,standard,96.18,16,501.2222743
22.08,standard,97.21,16,759.1511268
29.44,standard,97.41,16,1015.451783
36.8,standard,97.8,16,1275.014361
44.16,standard,98.06,16,1534.452097
51.52,standard,98.06,16,1792.870967
58.88,standard,98.19,16,2047.178275
66.24,standard,98.31,16,2313.522305
73.6,standard,98.45,16,2576.077102
0.2,copycat,10,0,0
7.36,copycat,78.52,16,528.1571668
14.72,copycat,85.61,16,1056.1843
22.08,copycat,87,16,1590.786399
29.44,copycat,92,16,2123.639503
36.8,copycat,91.49,16,2654.150541
44.16,copycat,94.01,16,3184.901261
51.52,copycat,94.45,16,3715.798722
58.88,copycat,92.66,16,4242.310456
66.24,copycat,93.63,16,4773.574031
73.6,copycat,93.24,16,5301.255952
80.96,copycat,93.46,16,5832.380369
0.2,adaptiveknockoff,10,0,0
7.36,adaptiveknockoff,50,16,518
14.72,adaptiveknockoff,69.3,16,1036
22.08,adaptiveknockoff,69.3,16,1580
29.44,adaptiveknockoff,81.4,16,2124
36.8,adaptiveknockoff,81.4,16,2653.5
44.16,adaptiveknockoff,80.0,16,3183
51.52,adaptiveknockoff,80.0,16,3595
58.88,adaptiveknockoff,81.1,16,4007
66.24,adaptiveknockoff,81.1,16,4629
73.6,adaptiveknockoff,89.7,16,5251
161,data free,10.3,350,15424.98619
322,data free,9.77,350,30849.97239
483,data free,10.44,350,46274.95859
644,data free,25.76,350,61699.94479
805,data free,35.36,350,77124.93099
966,data free,68.97,350,92549.91719
1127,data free,65.18,350,107974.9034
1288,data free,67.59,350,123399.8896
1449,data free,76.85,350,138824.8758
1610,data free,75.29,350,154249.862
1771,data free,82.57,350,169674.8482
1932,data free,79.16,350,185099.8344
2093,data free,79.68,350,200524.8206
2254,data free,76.24,350,215949.8068
2415,data free,78.56,350,231374.793
2576,data free,79.94,350,246799.7792
2737,data free,81.33,350,262224.7654
2898,data free,76.83,350,277649.7516
3059,data free,76.6,350,293074.7378
3220,data free,86.16,350,308499.724
3381,data free,84.04,350,323924.7102
3542,data free,65.08,350,339349.6964
3703,data free,77.28,350,354774.6826
3864,data free,87.28,350,370199.6688
4025,data free,75.94,350,385624.655
4186,data free,84.19,350,401049.6412
4347,data free,89.51,350,416474.6274
4508,data free,89.11,350,431899.6136
4669,data free,76.82,350,447324.5998
4830,data free,86.14,350,462749.586
4991,data free,79.63,350,478174.5722
5152,data free,74.38,350,493599.5584
5313,data free,83.57,350,509024.5446
5474,data free,88.3,350,524449.5308
5635,data free,86.27,350,539874.517
5796,data free,88.71,350,555299.5032
5957,data free,84.69,350,570724.4894
6118,data free,84.61,350,586149.4756
6279,data free,70.17,350,601574.4618
6440,data free,74.39,350,616999.448
6601,data free,73.37,350,632424.4342
6762,data free,76.07,350,647849.4204
6923,data free,85.31,350,663274.4066
7084,data free,76.95,350,678699.3928
7245,data free,79.11,350,694124.379
7406,data free,87.14,350,709549.3652
7567,data free,82.92,350,724974.3514
7728,data free,89.56,350,740399.3376
7889,data free,94,350,755824.3238
8050,data free,86,350,771249.31
8211,data free,83.22,350,786674.2962
8372,data free,92.75,350,802099.2824
8533,data free,87.04,350,817524.2686
8694,data free,90.35,350,832949.2548
8855,data free,93.16,350,848374.241
9016,data free,81.53,350,863799.2272
9177,data free,87.44,350,879224.2134
9338,data free,95.28,350,894649.1996
9499,data free,91.66,350,910074.1858
9660,data free,85.02,350,925499.172
9821,data free,83.94,350,940924.1582
9982,data free,80.89,350,956349.1444
10143,data free,87.41,350,971774.1306
10304,data free,78.89,350,987199.1168
10465,data free,84.88,350,1002624.103
10626,data free,93.82,350,1018049.089
10787,data free,94.97,350,1033474.075
10948,data free,85.42,350,1048899.062
11109,data free,95.3,350,1064324.048
11270,data free,88.22,350,1079749.034
11431,data free,94.8,350,1095174.02
11592,data free,93.45,350,1110599.006
11753,data free,93.74,350,1126023.993
11914,data free,92.16,350,1141448.979
12075,data free,91.28,350,1156873.965
12236,data free,93.84,350,1172298.951
12397,data free,92.03,350,1187723.937
12558,data free,88.65,350,1203148.924
12719,data free,92.37,350,1218573.91
12880,data free,93.43,350,1233998.896
13041,data free,94.05,350,1249423.882
13202,data free,96.14,350,1264848.868
13363,data free,93.62,350,1280273.855
13524,data free,89.67,350,1295698.841
13685,data free,95,350,1311123.827
13846,data free,91.46,350,1326548.813
14007,data free,89.71,350,1341973.799
14168,data free,89.56,350,1357398.786
14329,data free,92.14,350,1372823.772
14490,data free,91.93,350,1388248.758
0.2,entropyrev,10,0,0
7.36,entropyrev,77.94,16,252.8128426
14.72,entropyrev,87.76,16,504.1463414
22.08,entropyrev,90.25,16,762.2696587
29.44,entropyrev,91.64,16,1023.867844
36.8,entropyrev,92.38,16,1289.890061
44.16,entropyrev,96.27,16,1549.574944
51.52,entropyrev,97.24,16,1809.93978
58.88,entropyrev,98.22,16,2070.17904
66.24,entropyrev,98.32,16,2355.46143
73.6,entropyrev,98.34,16,2576.077102
0.2,worstcase,10,0,0
7.36,worstcase,83.5,16,188.2613283
14.72,worstcase,84.15,16,376.5226567
22.08,worstcase,86.18,16,564.783985
29.44,worstcase,85.88,16,754.1455025
36.8,worstcase,88.28,16,945.1850241
44.16,worstcase,90.12,16,1140.639992
51.52,worstcase,92.51,16,1347.801644
58.88,worstcase,95.8,16,1585.101537
66.24,worstcase,97.6,16,1928.566188
73.6,worstcase,98.41,16,2576.077102
0.2,jacobian,10,0,0
7.36,jacobian,81.98,16,262.6723276
14.72,jacobian,81.99,16,502.9804675
22.08,jacobian,81.08,16,742.5051399
29.44,jacobian,81.75,16,983.3549461
36.8,jacobian,82.27,16,1224.454496
44.16,jacobian,81.73,16,1465.380545
51.52,jacobian,82.11,16,1705.850885
58.88,jacobian,82.33,16,1953.52598
66.24,jacobian,81.76,16,2186.586807
73.6,jacobian,83.32,16,2421.638474
