time (sec),mode,accuracy,diff queries,privacy cost
0.2,standard,10,0,0
34.72,standard,56.58914729,16,335.6070149
69.44,standard,80.42635659,16,670.1053637
104.16,standard,84.88372093,16,998.9397659
138.88,standard,88.08139535,16,1329.830744
173.6,standard,89.63178295,16,1657.966281
208.32,standard,91.08527132,16,1984.43571
243.04,standard,91.86046512,16,2305.576558
277.76,standard,92.53875969,16,2628.553651
312.48,standard,92.15116279,16,2964.874835
347.2,standard,93.60465116,16,3289.289503
381.92,standard,93.79844961,16,3610.449371
416.64,standard,93.99224806,16,3938.523718
451.36,standard,93.41085271,16,4261.890419
486.08,standard,93.70155039,16,4585.16747
520.8,standard,93.89534884,16,4915.976777
555.52,standard,94.08914729,16,5257.746242
590.24,standard,93.89534884,16,5592.358639
624.96,standard,94.76744186,16,5916.455719
659.68,standard,94.28294574,16,6252.744778
694.4,standard,94.37984496,16,6581.390455
729.12,standard,94.57364341,16,6926.806316
763.84,standard,94.96124031,16,7260.70498
798.56,standard,94.86434109,16,7591.555809
833.28,standard,95.25193798,16,7917.596973
0.2,copycat,10,0,0
69.44,copycat,18.60465116,31,1305.204318
138.88,copycat,29.74806202,32,2618.044836
208.32,copycat,34.68992248,32,3918.122617
277.76,copycat,35.27131783,32,5233.670839
347.2,copycat,59.49612403,32,6534.279156
416.64,copycat,71.51162791,32,7828.569714
486.08,copycat,71.99612403,32,9127.019232
555.52,copycat,82.65503876,32,10424.81902
624.96,copycat,83.52713178,32,11731.25056
694.4,copycat,85.07751938,32,13039.76715
763.84,copycat,85.07751938,32,14351.78507
833.28,copycat,87.5,32,15655.63036
0.2,adaptiveknockoff,10,0,0
69.44,adaptiveknockoff,20.5,31,1261.5
138.88,adaptiveknockoff,20.5,32,2523
208.32,adaptiveknockoff,20.5,32,3789.5
277.76,adaptiveknockoff,16.1,32,5056
347.2,adaptiveknockoff,16.1,32,6154
416.64,adaptiveknockoff,18.2,32,7252
486.08,adaptiveknockoff,18.2,32,8665.5
555.52,adaptiveknockoff,33.3,32,10079
624.96,adaptiveknockoff,33.3,32,11341.5
694.4,adaptiveknockoff,47,32,12604
763.84,adaptiveknockoff,47,32,13899.5
833.28,adaptiveknockoff,43.9,32,15195
759.5,data free,11.539644,350,16876
1519,data free,16.959896,350,33752
2278.5,data free,11.835433,350,50628
3038,data free,49.066533,350,67504
3797.5,data free,57.467732,350,84380
4557,data free,70.928089,350,101256
5316.5,data free,81.94914,350,118132
6076,data free,79.475261,350,135008
6835.5,data free,85.656116,350,151884
7595,data free,85.56008,350,168760
8354.5,data free,88.364321,350,185636
9114,data free,89.094192,350,202512
9873.5,data free,87.718961,350,219388
10633,data free,90.557775,350,236264
11392.5,data free,90.3004,350,253140
12152,data free,87.28488,350,270016
12911.5,data free,89.055778,350,286892
13671,data free,89.074985,350,303768
14430.5,data free,91.018746,350,320644
15190,data free,90.657652,350,337520
15949.5,data free,89.920098,350,354396
16709,data free,89.820221,350,371272
17468.5,data free,92.15965,350,388148
18228,data free,92.313307,350,405024
18987.5,data free,89.65504,350,421900
19747,data free,91.64874,350,438776
20506.5,data free,91.933006,350,455652
21266,data free,90.311924,350,472528
22025.5,data free,91.852336,350,489404
22785,data free,90.434849,350,506280
23544.5,data free,92.916411,350,523156
24304,data free,92.536109,350,540032
25063.5,data free,92.547634,350,556908
25823,data free,91.737093,350,573784
26582.5,data free,92.10587,350,590660
27342,data free,92.175015,350,607536
28101.5,data free,92.854948,350,624412
28861,data free,92.770436,350,641288
29620.5,data free,92.605255,350,658164
30380,data free,93.000922,350,675040
31139.5,data free,93.039336,350,691916
31899,data free,92.559158,350,708792
32658.5,data free,92.666718,350,725668
33418,data free,92.2941,350,742544
34177.5,data free,94.31469,350,759420
34937,data free,94.437615,350,776296
35696.5,data free,94.510602,350,793172
36456,data free,94.652735,350,810048
37215.5,data free,94.514444,350,826924
37975,data free,94.591272,350,843800
38734.5,data free,94.671942,350,860676
39494,data free,94.802551,350,877552
40253.5,data free,94.479871,350,894428
41013,data free,94.702674,350,911304
41772.5,data free,94.960049,350,928180
42532,data free,94.714198,350,945056
43291.5,data free,94.760295,350,961932
44051,data free,94.856331,350,978808
44810.5,data free,94.679625,350,995684
45570,data free,94.560541,350,1012560
46329.5,data free,94.925476,350,1029436
47089,data free,94.921635,350,1046312
47848.5,data free,94.840965,350,1063188
48608,data free,94.952366,350,1080064
49367.5,data free,94.625845,350,1096940
50127,data free,95.086816,350,1113816
50886.5,data free,94.606638,350,1130692
51646,data free,94.883221,350,1147568
52405.5,data free,94.890904,350,1164444
53165,data free,94.833282,350,1181320
53924.5,data free,94.602797,350,1198196
54684,data free,95.23279,350,1215072
55443.5,data free,95.467117,350,1231948
56203,data free,95.371082,350,1248824
56962.5,data free,95.386447,350,1265700
57722,data free,95.413337,350,1282576
58481.5,data free,95.344192,350,1299452
59241,data free,95.482483,350,1316328
60000.5,data free,95.42102,350,1333204
60760,data free,95.578519,350,1350080
61519.5,data free,95.436386,350,1366956
62279,data free,95.532422,350,1383832
63038.5,data free,95.497849,350,1400708
63798,data free,95.578519,350,1417584
64557.5,data free,95.494007,350,1434460
65317,data free,95.593884,350,1451336
66076.5,data free,95.463276,350,1468212
66836,data free,95.643823,350,1485088
67595.5,data free,95.68992,350,1501964
68355,data free,95.563153,350,1518840
0.2,jacobian,10,0,0
34.72,jacobian,25.4844961,16,341.6979703
69.44,jacobian,28.2945736,16,697.3708146
104.16,jacobian,22.1899225,16,1064.458825
138.88,jacobian,25.6782946,16,1422.024334
173.6,jacobian,25.6782946,16,1795.50663
208.32,jacobian,23.9341085,16,2165.553931
243.04,jacobian,28.003876,16,2524.22105
277.76,jacobian,23.3527132,16,2906.988625
312.48,jacobian,26.2596899,16,3274.42973
347.2,jacobian,25.1937984,16,3645.56978
381.92,jacobian,26.0658915,16,4025.536146
416.64,jacobian,27.2286822,16,4392.113575
451.36,jacobian,24.4186047,16,4761.989677
486.08,jacobian,27.5193798,16,5148.294935
520.8,jacobian,23.3527132,16,5530.6681
555.52,jacobian,26.0658915,16,5911.433912
590.24,jacobian,28.6821705,16,6302.664472
624.96,jacobian,25.5813953,16,6685.111821
659.68,jacobian,27.9069767,16,7063.45123
694.4,jacobian,25,16,7444.162393
729.12,jacobian,27.4224806,16,7822.382311
763.84,jacobian,26.8410853,16,8193.108789
798.56,jacobian,25.3875969,16,8568.312908
0.2,worstcase,10,0,0
2.17,worstcase,17,1,14.06
34.72,worstcase,61.14341085,15,225.7017363
69.44,worstcase,76.25968992,16,451.4034727
104.16,worstcase,79.55426357,16,677.105209
138.88,worstcase,82.36434109,16,902.8069454
173.6,worstcase,82.55813953,16,1128.508682
208.32,worstcase,82.84883721,16,1354.210418
243.04,worstcase,83.04263566,16,1579.912154
277.76,worstcase,83.72093023,16,1805.613891
312.48,worstcase,84.20542636,16,2031.358567
347.2,worstcase,84.78682171,16,2258.190301
381.92,worstcase,86.04651163,16,2485.45223
416.64,worstcase,87.1124031,16,2714.240436
451.36,worstcase,87.98449612,16,2945.716084
486.08,worstcase,88.17829457,16,3181.278757
520.8,worstcase,88.37209302,16,3423.456835
555.52,worstcase,89.24418605,16,3675.70755
590.24,worstcase,90.40697674,16,3943.649775
624.96,worstcase,91.08527132,16,4234.15879
659.68,worstcase,91.18217054,16,4560.105948
694.4,worstcase,92.82945736,16,4939.304592
729.12,worstcase,93.89534884,16,5403.306155
763.84,worstcase,94.18604651,16,6003.607855
798.56,worstcase,94.37984496,16,6748.046558
833.28,worstcase,94.47674419,16,7501.438735
0.2,entropyrev,10,0,0
2.17,entropyrev,17,1,21
34.72,entropyrev,45.54263566,15,329.3096908
69.44,entropyrev,77.81007752,16,664.3980451
104.16,entropyrev,85.85271318,16,996.1939702
138.88,entropyrev,89.14728682,16,1333.576107
173.6,entropyrev,90.50387597,16,1662.175157
208.32,entropyrev,90.69767442,16,1993.418146
243.04,entropyrev,91.86046512,16,2322.918223
277.76,entropyrev,92.24806202,16,2647.204658
312.48,entropyrev,93.02325581,16,2989.816161
347.2,entropyrev,93.02325581,16,3334.580727
381.92,entropyrev,93.31395349,16,3677.104734
416.64,entropyrev,93.79844961,16,3997.343236
451.36,entropyrev,93.99224806,16,4336.231766
486.08,entropyrev,94.28294574,16,4670.290849
520.8,entropyrev,94.67054264,16,5003.36916
555.52,entropyrev,94.76744186,16,5341.643402
590.24,entropyrev,94.67054264,16,5672.313864
624.96,entropyrev,94.86434109,16,6004.502853
659.68,entropyrev,94.76744186,16,6332.438167
694.4,entropyrev,94.76744186,16,6612.492353
729.12,entropyrev,93.89534884,16,6936.349667
763.84,entropyrev,94.28294574,16,7269.023061
798.56,entropyrev,93.99224806,16,7599.512057
833.28,entropyrev,94.37984496,16,7925.757353
